Individual,Site,Loc,Depth,V1,V2,V3,V4,Clusters,Q.Clust1,Q.Clust2,Q.Clust3,Q.Clust4
KP0355_AC_WP20,WP20,WP,20,-1.8930206, 2.859116320, 0.450698278, 0.3439400780,Clust2,0.000010,0.999970,0.000010,0.000010
KP0360_AC_WP20,WP20,WP,20,-2.9733392, 4.589010053,-0.246387798,-1.2992326410,Clust2,0.000010,0.999970,0.000010,0.000010
KP0361_LM_WP20,WP20,WP,20,-2.6181722, 4.092888280,-0.271576822,-1.2927517432,Clust2,0.000010,0.999970,0.000010,0.000010
KP0362_AC_WP20,WP20,WP,20,-3.0031561, 4.547591409,-0.311281538,-1.2788694531,Clust2,0.000010,0.999970,0.000010,0.000010
KP0363_AC_WP20,WP20,WP,20,-2.9095389, 4.516534813,-0.270675795,-1.1056294682,Clust2,0.000010,0.999970,0.000010,0.000010
KP0365_AC_WP20,WP20,WP,20,-2.9230321, 2.784895602, 0.387713239,-1.0117285387,Clust2,0.000010,0.920715,0.079265,0.000010
KP0367_AC_WP20,WP20,WP,20,-3.0444143, 2.764865465, 0.546079451,-0.9096155300,Clust2,0.000010,0.919998,0.079982,0.000010
KP0368_AC_WP20,WP20,WP,20,-1.5920361, 2.958952816,-0.336449210, 1.8624101603,Clust2,0.036657,0.957826,0.000010,0.005507
KP0369_AC_WP20,WP20,WP,20,22.3216761, 0.535006407, 0.096618797, 0.4658182579,Clust1,0.999970,0.000010,0.000010,0.000010
KP0372_AC_WP20,WP20,WP,20,-1.5022678, 4.648525279,-0.457089568,-0.7282432710,Clust2,0.036339,0.828452,0.135199,0.000010
KP0373_AC_WP20,WP20,WP,20,17.9046242, 0.566967377,-0.137966393,-0.4527497639,Clust1,0.999970,0.000010,0.000010,0.000010
