Individuals,Clusters,Assignment,pop
KP1164_LM_CA20,Clust4,1e-05,CA20
KP1166_LM_CA20,Clust4,0.00892,CA20
KP1167_LM_CA20,Clust4,0.999953,CA20
KX0330_LM_WP20,Clust4,0.988056,WP20
KX0657_LM_SB20,Clust4,1e-05,SB20
KY0578_AC_WP20,Clust4,1e-05,WP20
NR4671_L1_CS50,Clust4,0.903007,NA
NR5050_L2_CS15,Clust4,1e-05,NA
NR5053_L2_CS15,Clust4,1e-05,NA
NR5242_L1_CK50,Clust4,0.965303,NA
NR5533_L2_CR15,Clust4,1e-05,NA
NR5534_L1_CR15,Clust4,0.933889,NA
KP0086_LM_SB10,Clust5,0.814974,SB10
KP0096_AC_SB10,Clust5,1e-05,SB10
KP0108_AC_SB10,Clust5,0.666669,SB10
KP0186_AC_SQ12,Clust5,0.563275,SQ12
KP0192_AC_SQ12,Clust5,0.725411,SQ12
KP0203_AC_SQ12,Clust5,0.908305,SQ12
KP0207_LM_SQ12,Clust5,0.642222,SQ12
KP0249_LM_SQ20,Clust5,0.633268,SQ20
KP0252_LM_SQ20,Clust5,0.683976,SQ20
KP0253_LM_SQ20,Clust5,1e-05,SQ20
KP0254_LM_SQ20,Clust5,1e-05,SQ20
KP0282_LM_SQ20,Clust5,0.910428,SQ20
KP0285_LM_SQ20,Clust5,1e-05,SQ20
KP0290_LM_WP20,Clust5,0.670914,WP20
KP0293_LM_WP20,Clust5,1e-05,WP20
KP0308_LM_WP20,Clust5,0.879912,WP20
KP0318_LM_WP20,Clust5,1e-05,WP20
KP0319_LM_WP20,Clust5,0.995881,WP20
KP0322_LM_WP20,Clust5,0.063181,WP20
KP0328_LM_WP20,Clust5,1e-05,WP20
KP0330_LM_WP20,Clust5,1e-05,WP20
KP0341_LM_WP20,Clust5,1e-05,WP20
KP0342_LM_WP20,Clust5,1e-05,WP20
KP0343_LM_WP20,Clust5,1e-05,WP20
KP0345_LM_WP20,Clust5,1e-05,WP20
KP0348_LM_WP20,Clust5,0.816656,WP20
KP0350_LM_WP20,Clust5,0.488548,WP20
KP0375_LM_WP20,Clust5,0.573389,WP20
KP0377_LM_WP20,Clust5,1e-05,WP20
KP0380_LM_WP20,Clust5,0.874375,WP20
KP0400_LM_WP20,Clust5,1e-05,WP20
KP0459_LM_WP20,Clust5,0.688432,WP20
KP0473_LM_WP20,Clust5,1e-05,WP20
KP0482_LM_WP20,Clust5,0.746037,WP20
KP0529_LM_WP20,Clust5,1e-05,WP20
KP0547_LM_WP20,Clust5,1e-05,WP20
KP0548_LM_WP20,Clust5,1e-05,WP20
KP0551_LM_WP20,Clust5,0.628395,WP20
KP0557_AC_WP20,Clust5,1e-05,WP20
KP0558_LM_WP20,Clust5,0.901392,WP20
KP0570_LM_WP20,Clust5,0.672502,WP20
KP0585_LM_WP20,Clust5,0.740973,WP20
KP0588_LM_WP20,Clust5,1e-05,WP20
KP0599_LM_SB20,Clust5,0.853452,SB20
KP0605_AC_SB20,Clust5,0.529945,SB20
KP0609_AC_SB20,Clust5,0.571728,SB20
KP0613_LM_SB20,Clust5,0.651281,SB20
KP0614_LM_SB20,Clust5,0.944282,SB20
KP0616_LM_SB20,Clust5,0.816678,SB20
KP0617_LM_SB20,Clust5,0.842846,SB20
KP0618_LM_SB20,Clust5,1e-05,SB20
KP0620_LM_SB20,Clust5,0.945061,SB20
KP0629_LM_SB20,Clust5,0.817183,SB20
KP0631_LM_SB20,Clust5,0.360396,SB20
KP0634_LM_SB20,Clust5,0.588747,SB20
KP0637_LM_SB20,Clust5,1e-05,SB20
KP0650_LM_SB20,Clust5,0.638505,SB20
KP0657_LM_SB20,Clust5,1e-05,SB20
KP0659_LM_SB20,Clust5,1e-05,SB20
KP0664_LM_SB20,Clust5,1e-05,SB20
KP0666_LM_SB20,Clust5,1e-05,SB20
KP0670_LM_SB20,Clust5,0.472409,SB20
KP0671_AC_SB20,Clust5,0.53415,SB20
KP0676_LM_SB20,Clust5,1e-05,SB20
KP0677_LM_SB20,Clust5,0.780969,SB20
KP0680_LM_SB20,Clust5,0.39476,SB20
KP0682_LM_SB20,Clust5,1e-05,SB20
KP0694_LM_SB20,Clust5,0.725946,SB20
KP0706_LM_SB20,Clust5,0.680279,SB20
KP0707_LM_SB20,Clust5,0.61346,SB20
KP0716_LM_SB20,Clust5,1e-05,SB20
KP0718_LM_SB20,Clust5,0.99996,SB20
KP0723_NA_NANA,Clust5,0.726812,SB20
KP0731_LM_SB20,Clust5,0.015833,SB20
KP0732_LM_SB20,Clust5,0.636266,SB20
KP0765_AC_WP10,Clust5,0.361876,WP10
KP0795_LM_WP10,Clust5,0.660138,WP10
KP0851_AC_WP10,Clust5,1e-05,WP10
KP0870_LM_WP10,Clust5,1e-05,WP10
KP0893_LM_WP10,Clust5,0.975471,WP10
KP1043_LM_CA10,Clust5,1e-05,CA10
KP1058_LM_CA20,Clust5,1e-05,CA20
KP1059_LM_CA20,Clust5,0.99996,CA20
KP1061_LM_CA20,Clust5,0.99996,CA20
KP1064_LM_CA20,Clust5,1e-05,CA20
