Individual,Species,Population,Loc,Site,Depth,PC1,PC2,PC3,PC4,PC5,PC6,Clusters,Taxa,taxaQ.Clust1,taxaQ.Clust2,taxaQ.Clust3,Q.Clust1,Q.Clust2,Q.Clust3,Q.Clust4
KP0261_AC_SQ20,AA,AC_SQ20,SQ,SQ20,20,  3.34495741,-2.3308249,-5.817535e-01, 0.0081366676,-2.939069e-02, 1.368211e+00,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0269_AC_SQ20,AA,AC_SQ20,SQ,SQ20,20,  3.35385082,-2.2814057, 1.801553e-01,-0.0051628589,-4.689936e-02, 6.230141e-01,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0272_AC_SQ20,AA,AC_SQ20,SQ,SQ20,20,  3.43092241,-2.3497500,-1.448854e-01,-0.0042834932,-3.390020e-02, 5.469544e-01,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0279_AC_SQ20,AA,AC_SQ20,SQ,SQ20,20,  3.32275068,-2.4168774,-1.586710e-01,-0.0052597857, 2.262988e-02, 6.815951e-01,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0282_LM_SQ20,AL,LM_SQ20,SQ,SQ20,20,-10.64943973,-1.7921227, 1.276358e-01, 0.0918418051,-1.665014e+00, 2.235188e-02,Clust4,Clust2,0.000010,0.999980,0.000010,0.000010,0.000010,0.000010,0.999970
KP0284_AC_SQ20,AA,AC_SQ20,SQ,SQ20,20,  3.58442295,-2.5291075,-3.410282e-01,-0.0058318721,-3.990747e-02, 5.029202e-01,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0285_LM_SQ20,AL,LM_SQ20,SQ,SQ20,20,-10.55947384,-1.7797303, 1.837496e-02, 0.0010099761, 2.149342e+00, 6.500776e-02,Clust2,Clust2,0.000010,0.999975,0.000015,0.000010,0.900633,0.000010,0.099347
KP0289_AC_WP20,AA,AC_WP20,WP,WP20,20,  3.12698971,-2.2882978,-7.017319e-01,-0.0346715533, 5.496532e-02,-5.360019e-01,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0290_LM_WP20,AL,LM_WP20,WP,WP20,20,-11.31593347,-2.1030020,-6.710748e-02, 0.0037147343,-4.085172e-01,-5.884250e-03,Clust4,Clust2,0.000010,0.999980,0.000010,0.000010,0.075449,0.000010,0.924531
KP0291_AC_WP20,AA,AC_WP20,WP,WP20,20,  3.17400556,-2.2465153,-2.503919e-01, 0.0055717810, 1.046878e-01,-7.239734e-01,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
