,Individual,Species,Population,Loc,Site,Depth,PC1,PC2,PC3,PC4,PC5,PC6
KP0305_AC_WP20,KP0305_AC_WP20,AA,AC_WP20,WP,WP20,20,3.46532170252082,-2.44853399794392,-0.528013528292613,0.0250484029088122,-0.0322580788257172,-0.202694361699249
KP0308_LM_WP20,KP0308_LM_WP20,AL,LM_WP20,WP,WP20,20,-10.9645390973591,-1.79819527465443,0.00482145898048571,0.166000424571513,-1.09212310009995,0.0596169564086978
KP0311_AC_WP20,KP0311_AC_WP20,AA,AC_WP20,WP,WP20,20,3.25546288886568,-1.9262589885537,3.38251994834809,0.0968801099311961,-0.100906996980495,-0.422594958157829
KP0314_AC_WP20,KP0314_AC_WP20,AA,AC_WP20,WP,WP20,20,3.38134893614025,-2.38951553926284,-0.352308492819204,-0.0165290718519028,0.0813044179523845,-0.390220945908865
KP0317_AC_WP20,KP0317_AC_WP20,AA,AC_WP20,WP,WP20,20,2.84088308597292,-2.03254573935379,-0.373838974855177,0.00493691977215769,-0.0605079984427179,-0.656976397381508
KP0319_LM_WP20,KP0319_LM_WP20,AL,LM_WP20,WP,WP20,20,-11.2245939941929,-2.20972202357799,0.00725310371588675,0.0833225361450525,-1.04603653507134,-0.0147694347467455
KP0322_LM_WP20,KP0322_LM_WP20,AL,LM_WP20,WP,WP20,20,-10.3581343838218,-1.88902821025738,0.0342726296483679,0.0475794279649083,2.10682905446616,0.0801632434459248
KP0323_AC_WP20,KP0323_AC_WP20,AA,AC_WP20,WP,WP20,20,3.48563656147059,-2.44521990871807,-0.281983081509313,0.00962214109667529,-0.034860395984586,0.0454944642823501
KP0326_AC_WP20,KP0326_AC_WP20,AA,AC_WP20,WP,WP20,20,2.93407394120656,-2.41460596294804,-0.294105409803801,0.00929999584252184,-0.022173050761834,-0.549854148485985
KP0328_LM_WP20,KP0328_LM_WP20,AL,LM_WP20,WP,WP20,20,-11.2741273709123,-1.94567323618478,0.12010298999724,-0.0780186968868271,2.66764070953579,0.0791951903184256
KP0329_AC_WP20,KP0329_AC_WP20,AA,AC_WP20,WP,WP20,20,2.77275172312161,-2.11467998711089,-0.461060751939955,-0.0320841724648743,0.00705488643231582,-0.867873412805239
KP0332_AC_WP20,KP0332_AC_WP20,AA,AC_WP20,WP,WP20,20,3.34276547228424,-2.31627442082768,-0.330904198490738,-0.0372497574723666,-0.0592136038389497,-0.218094036596605
KP0335_AC_WP20,KP0335_AC_WP20,AA,AC_WP20,WP,WP20,20,3.47142448215864,-2.47674717118524,-0.417621723495561,0.0227950105692438,-0.0236108943205595,-0.984253773633071
KP0340_AC_WP20,KP0340_AC_WP20,AA,AC_WP20,WP,WP20,20,2.56333108151435,-1.90047952364154,-0.310852706766376,0.0561598345923332,-0.00520230145955593,0.810468202335241
KP0341_LM_WP20,KP0341_LM_WP20,AL,LM_WP20,WP,WP20,20,-11.1525615508276,-2.01188845700159,-0.0557407933958829,0.116000744215917,-0.581155589553012,-0.0750669270653315
KP0346_AC_WP20,KP0346_AC_WP20,AA,AC_WP20,WP,WP20,20,2.90658967941773,-2.06861709681195,-0.0388539728248531,0.0529374193515759,-0.0668071461219806,-0.425805479720016
KP0347_AC_WP20,KP0347_AC_WP20,AA,AC_WP20,WP,WP20,20,3.33810288793533,-2.10524121872499,3.53613276156197,0.117272985278953,-0.0419948668955671,-0.288847306066894
KP0348_LM_WP20,KP0348_LM_WP20,AL,LM_WP20,WP,WP20,20,-11.3956590659122,-2.13836301731603,-0.00495843882978134,0.171917945662942,-0.87021792350972,0.076080846195103
KP0350_LM_WP20,KP0350_LM_WP20,AL,LM_WP20,WP,WP20,20,-11.575029146431,-2.13321198240154,0.0142572401162065,-0.00790860852960034,-0.934075036577484,-0.0486848497815685
KP0354_AC_WP20,KP0354_AC_WP20,AA,AC_WP20,WP,WP20,20,3.4812045047349,-2.42483654655324,-0.435190928707155,-0.0257709848606261,-0.0343954465882599,-0.600207204216878
KP0355_AC_WP20,KP0355_AC_WP20,AA,AC_WP20,WP,WP20,20,2.63002125017706,-1.97305556465338,-0.313262601316517,-0.00919048358489104,-0.0240412685690877,-0.677981490421089
KP0360_AC_WP20,KP0360_AC_WP20,AA,AC_WP20,WP,WP20,20,3.53128254342827,-2.46157435383287,-0.0405154167968884,0.0166912339174031,-0.0111577812356818,-0.641087116176096
KP0365_AC_WP20,KP0365_AC_WP20,AA,AC_WP20,WP,WP20,20,3.37154163013069,-2.3055199525729,-0.414375322259295,-0.0483039653827782,-0.0976296113371242,-0.0115785264267332
KP0368_AC_WP20,KP0368_AC_WP20,AA,AC_WP20,WP,WP20,20,3.38548352563299,-2.52017672649343,-0.798930733972239,-0.0296963812658784,-0.0137382723043735,0.0466910850737268
KP0369_AC_WP20,KP0369_AC_WP20,AA,AC_WP20,WP,WP20,20,3.34703449256099,-2.17723024224459,3.5602251016828,0.149421647146887,-0.0641340124532132,0.0912335295210642
KP0372_AC_WP20,KP0372_AC_WP20,AA,AC_WP20,WP,WP20,20,3.52438675472837,-2.43295531799221,-0.123830545516067,0.00711767701146938,-0.0458074831254408,-0.863472867641158
KP0374_AC_WP20,KP0374_AC_WP20,AA,AC_WP20,WP,WP20,20,3.25740410076113,-2.30572953793312,-0.175332400464017,-0.00221126653769754,0.00445278949885019,-0.539662410553119
KP0375_LM_WP20,KP0375_LM_WP20,AL,LM_WP20,WP,WP20,20,-10.9917466586846,-1.96409039650876,0.140640978855841,0.045082220295001,-0.709098772935313,-0.0462642275272352
KP0377_LM_WP20,KP0377_LM_WP20,AL,LM_WP20,WP,WP20,20,-10.9215055303996,-1.88853337259256,-0.187898872712345,-0.189341474379116,1.7402827283429,0.0708473348009668
KP0378_AC_WP20,KP0378_AC_WP20,AA,AC_WP20,WP,WP20,20,0.035067626430806,6.83475910371098,-0.199010417795634,1.18685777967999,0.114631255082032,-0.357168818169148
