Individual Sample Species Site Loc Depth x y z clone clone_group Clusters
KP0741_AC_WP10 KP0741 AC WP10 WP 10 5.50006428410925 -29.5901794213515 -9.39056486147038 clone 151_AA2 AA2
KP0742_AC_WP10 KP0742 AC WP10 WP 10 4.92189571685998 -28.5180815534444 -9.69288680808697 ac.mlg non-clone AA2
KP0743_AC_WP10 KP0743 AC WP10 WP 10 5.31609267200479 -29.2798306028546 -9.27869348729232 clone 151_AA2 AA2
KP0744_HU_WP10 KP0744 HU WP10 WP 10 5.00619817656757 -27.7509445478468 -9.81296499399555 hu.mlg non-clone AH3
KP0745_AC_WP10 KP0745 AC WP10 WP 10 5.25532009020904 -29.4196631030385 -9.63440249222114 clone 151_AA2 AA2
KP0746_AC_WP10 KP0746 AC WP10 WP 10 4.81251998314653 -27.9801910309134 -10.0703495864136 ac.mlg non-clone AA2
KP0748_AC_WP10 KP0748 AC WP10 WP 10 3.55106362376811 -28.3262249064061 -9.51180725428919 ac.mlg non-clone AA2
KP0751_AC_WP10 KP0751 AC WP10 WP 10 4.29292967780872 -29.6783419417919 -9.70473339927706 ac.mlg non-clone AA2
KP0753_AC_WP10 KP0753 AC WP10 WP 10 3.14099736988192 -29.9424403194375 -9.65418398394489 ac.mlg non-clone AA2
KP0757_AC_WP10 KP0757 AC WP10 WP 10 2.42745848404262 -29.8158211557495 -8.56715984613852 ac.mlg non-clone AA2
KP0758_AC_WP10 KP0758 AC WP10 WP 10 1.75114302019948 -27.3419473696382 -8.95646681277396 ac.mlg non-clone AA2
KP0760_AC_WP10 KP0760 AC WP10 WP 10 1.53550020956395 -27.3038944628039 -8.66492287644742 ac.mlg non-clone AA2
KP0764_HU_WP10 KP0764 HU WP10 WP 10 1.6037885203388 -26.952822698322 -8.95418333033832 hu.mlg non-clone AH1
KP0765_AC_WP10 KP0765 AC WP10 WP 10 1.20279344343323 -27.890338731939 -8.29186018708605 lm.mlg non-clone AL2
KP0767_AC_WP10 KP0767 AC WP10 WP 10 0.964964813450812 -27.7151669624522 -8.15890595799532 ac.mlg non-clone AA2
