,Individual,Site,Loc,Depth,PC1,PC2,PC3,PC4
KP0235_AC_SQ20,KP0235_AC_SQ20,SQ20,SQ,20,13.6908998767696,0.170604635308672,0.0862989314334418,0.491432088033513
KP0236_AC_SQ20,KP0236_AC_SQ20,SQ20,SQ,20,-1.3054071519512,-2.39932209195906,-0.0821541829038418,2.48392676868609
KP0237_AC_SQ20,KP0237_AC_SQ20,SQ20,SQ,20,-2.39112318227036,-2.02109374290703,-1.05810486549842,-0.303140242263109
KP0238_AC_SQ20,KP0238_AC_SQ20,SQ20,SQ,20,-1.94149429037051,-2.04596711070298,-0.633159857538008,-0.0357395177277956
KP0240_AC_SQ20,KP0240_AC_SQ20,SQ20,SQ,20,-2.37170023007272,-2.08331826070478,-1.13994905959945,-0.161427165344026
KP0241_AC_SQ20,KP0241_AC_SQ20,SQ20,SQ,20,16.2802701935221,0.271750128697191,0.299435613201151,0.44548742010432
KP0242_AC_SQ20,KP0242_AC_SQ20,SQ20,SQ,20,-1.22103502112039,-2.229815840288,-0.304148269214518,0.442210961128128
KP0243_AC_SQ20,KP0243_AC_SQ20,SQ20,SQ,20,16.7171897677158,0.136701866135967,-0.52739947791418,0.325498411543262
KP0244_LM_SQ20,KP0244_LM_SQ20,SQ20,SQ,20,-0.656876636814477,-1.84754329984489,0.59498679451564,-0.637511487670561
KP0246_AC_SQ20,KP0246_AC_SQ20,SQ20,SQ,20,15.5850095362349,0.225679629397758,-0.296277822814721,0.0761726403254563
KP0247_AC_SQ20,KP0247_AC_SQ20,SQ20,SQ,20,16.4822758090319,0.555281876115252,-0.240894790770279,-0.100300113786185
KP0250_AC_SQ20,KP0250_AC_SQ20,SQ20,SQ,20,-1.53078088739249,-2.80027585723247,0.237158619121521,1.28135676448159
KP0251_AC_SQ20,KP0251_AC_SQ20,SQ20,SQ,20,-1.7698380783336,-2.87871895193523,0.456192664743893,1.27135023864421
KP0255_AC_SQ20,KP0255_AC_SQ20,SQ20,SQ,20,16.3745148878087,0.253015279579563,0.00630858496024864,-0.223422776119887
KP0256_AC_SQ20,KP0256_AC_SQ20,SQ20,SQ,20,16.2387273728784,0.256075823986084,0.000522099704173111,-0.18940331498382
KP0257_AC_SQ20,KP0257_AC_SQ20,SQ20,SQ,20,-0.894075604043642,-4.5562948703033,-1.93566292407967,3.40118722060369
KP0258_AC_SQ20,KP0258_AC_SQ20,SQ20,SQ,20,-1.25673480615141,-4.65937569522733,-2.13767243446298,3.53218602184619
KP0259_AC_SQ20,KP0259_AC_SQ20,SQ20,SQ,20,15.4103628323455,-0.141259372505073,-0.260431109684219,-0.13727274188694
