,Individual,Site,Loc,Depth,PC1,PC2,PC3,PC4
KP0643_AC_SB20,KP0643_AC_SB20,SB20,SB,20,1.3776751938546,-1.13627238328528,-1.59449111082703,0.174153939876377
KP0645_AC_SB20,KP0645_AC_SB20,SB20,SB,20,0.615392252813604,-1.84024922314609,-1.14821040482597,-0.214479000379465
KP0646_AC_SB20,KP0646_AC_SB20,SB20,SB,20,0.795180761872353,-1.23883615646058,-1.11318660226612,-0.509513496159379
KP0647_AC_SB20,KP0647_AC_SB20,SB20,SB,20,0.593626476678904,-2.20859317201031,-0.595664612931407,-1.01066478318213
KP0648_AC_SB20,KP0648_AC_SB20,SB20,SB,20,0.0620459288450819,-1.20485789106634,-0.473302493739673,-0.82770703069465
KP0649_AC_SB20,KP0649_AC_SB20,SB20,SB,20,1.1733595764507,-1.44810824060222,-0.315829475225165,-0.574829934837073
KP0652_AC_SB20,KP0652_AC_SB20,SB20,SB,20,0.845167759515787,-1.08762719287991,-0.898035747509683,-0.429508884062387
KP0654_AC_SB20,KP0654_AC_SB20,SB20,SB,20,0.700500479862859,-1.22194538795217,-0.523193354112008,-0.272738514584999
KP0660_AC_SB20,KP0660_AC_SB20,SB20,SB,20,0.92688057501549,-1.54206797587142,-0.661020654970482,-1.02442880379888
KP0661_AC_SB20,KP0661_AC_SB20,SB20,SB,20,0.443518313472112,-0.954991117762893,-0.898957880989751,-0.145212025979512
KP0662_AC_SB20,KP0662_AC_SB20,SB20,SB,20,0.690899111681094,-1.11807739461028,-1.2317265769007,-0.384078337409477
KP0665_AC_SB20,KP0665_AC_SB20,SB20,SB,20,1.08917575635246,-0.856443619106018,-1.09030826097508,0.181521286147672
KP0667_AC_SB20,KP0667_AC_SB20,SB20,SB,20,0.837029523434575,-1.38004159552448,-0.407975924178977,-0.595343657510108
KP0668_AC_SB20,KP0668_AC_SB20,SB20,SB,20,0.645592371150819,-1.28654185562373,-0.935078536232812,0.469626176484141
KP0669_AC_SB20,KP0669_AC_SB20,SB20,SB,20,0.583444660029174,-1.36038221583974,-1.1616370103375,0.436482934841137
KP0678_AC_SB20,KP0678_AC_SB20,SB20,SB,20,-8.47368981073114,-0.0965131391703448,0.0948389160280462,0.488217848691365
KP0679_AC_SB20,KP0679_AC_SB20,SB20,SB,20,0.256768881375938,-1.52657986617793,-1.14477744073208,-0.39487269971205
KP0686_AC_SB20,KP0686_AC_SB20,SB20,SB,20,0.58411780423982,-1.33066476733026,-0.545360590599393,-0.41249217579238
KP0688_AC_SB20,KP0688_AC_SB20,SB20,SB,20,0.632211567502915,-2.2535890135319,-0.49194086017218,-0.515253213035565
KP0690_AC_SB20,KP0690_AC_SB20,SB20,SB,20,-8.22269075529693,0.272242660027652,0.155669807819568,0.462368925975415
KP0691_AC_SB20,KP0691_AC_SB20,SB20,SB,20,0.40057459986399,-1.61324222804098,-0.703094822638939,-1.51113826148341
KP0696_AC_SB20,KP0696_AC_SB20,SB20,SB,20,-8.43679645302057,0.318553690819042,0.19747918155659,0.273934790860246
KP0698_AC_SB20,KP0698_AC_SB20,SB20,SB,20,0.762218676674274,-1.98661936204744,-0.430630218133571,-0.749688524907582
KP0703_AC_SB20,KP0703_AC_SB20,SB20,SB,20,0.447755686430391,-1.13774363321871,-1.1333894037935,-1.11192964917854
KP0704_AC_SB20,KP0704_AC_SB20,SB20,SB,20,0.512813561251043,-1.82804392786436,-1.40174153210886,0.128316500801738
KP0708_AC_SB20,KP0708_AC_SB20,SB20,SB,20,0.589467510941768,-1.97259499674093,-0.853022373918507,-0.819065411420992
KP0711_AC_SB20,KP0711_AC_SB20,SB20,SB,20,0.683525201887427,-1.20630907556303,-0.721219735267361,-0.427287546328778
KP0712_AC_SB20,KP0712_AC_SB20,SB20,SB,20,0.75528817004745,-0.680461348510031,-0.541003477376281,0.239854029898304
KP0714_AC_SB20,KP0714_AC_SB20,SB20,SB,20,0.601657310611608,-1.9509064610371,-2.05442836084911,-0.0721830089483644
KP0717_AC_SB20,KP0717_AC_SB20,SB20,SB,20,0.584475918752491,-1.39264898100654,-1.11057933427699,1.04191058572958
KP0720_AC_SB20,KP0720_AC_SB20,SB20,SB,20,0.732229486555577,-1.38178752767898,-0.94439892242677,-0.566071686467953
KP0724_AC_SB20,KP0724_AC_SB20,SB20,SB,20,0.606985759492271,-0.312413331384066,-0.412464623037135,0.183069045435388
KP0727_AC_SB20,KP0727_AC_SB20,SB20,SB,20,0.60631275349309,-1.29076513191583,-0.315262603708278,-0.561004585001565
KP0730_AC_SB20,KP0730_AC_SB20,SB20,SB,20,0.933055162220971,-1.19747698033139,-0.415024116821097,-0.559171461558202
KP0734_AC_SB20,KP0734_AC_SB20,SB20,SB,20,0.369891195213471,-1.39097206072874,-0.309283130570385,-0.199691817330228
KP0742_AC_WP10,KP0742_AC_WP10,WP10,WP,10-12,1.03111084628566,1.33991563827303,0.128113802436414,0.461537279339114
